=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.07 16:10:31 =~=~=~=~=~=~=~=~=~=~=~=
Turn on power supply within 5 seconds
Running in 3 seconds
110	Angle:-23.59	AngleRate:0.89	Error:23.59	ErrorRate:-0.89	P:33.03	I:1.05	D:0.00	PID:34	velL:34	velR:0
111	Angle:-23.56	AngleRate:0.84	Error:23.56	ErrorRate:-0.84	P:32.98	I:1.06	D:0.00	PID:34	velL:34	velR:0
112	Angle:-23.89	AngleRate:0.81	Error:23.89	ErrorRate:-0.81	P:33.45	I:1.07	D:0.00	PID:34	velL:34	velR:0
113	Angle:-23.52	AngleRate:0.82	Error:23.52	ErrorRate:-0.82	P:32.92	I:1.07	D:0.00	PID:33	velL:33	velR:0
114	Angle:-23.44	AngleRate:0.84	Error:23.44	ErrorRate:-0.84	P:32.81	I:1.08	D:0.00	PID:33	velL:33	velR:0
115	Angle:-23.54	AngleRate:0.87	Error:23.54	ErrorRate:-0.87	P:32.96	I:1.09	D:0.00	PID:34	velL:34	velR:0
116	Angle:-23.63	AngleRate:0.82	Error:23.63	ErrorRate:-0.82	P:33.08	I:1.10	D:0.00	PID:34	velL:34	velR:0
117	Angle:-23.58	AngleRate:0.82	Error:23.58	ErrorRate:-0.82	P:33.01	I:1.11	D:0.00	PID:34	velL:34	velR:0
118	Angle:-23.35	AngleRate:0.82	Error:23.35	ErrorRate:-0.82	P:32.69	I:1.12	D:0.00	PID:33	velL:33	velR:0
119	Angle:-23.61	AngleRate:0.90	Error:23.61	ErrorRate:-0.90	P:33.06	I:1.13	D:0.00	PID:34	velL:34	velR:0
120	Angle:-23.65	AngleRate:0.87	Error:23.65	ErrorRate:-0.87	P:33.12	I:1.14	D:0.00	PID:34	velL:34	velR:0
121	Angle:-24.01	AngleRate:0.81	Error:24.01	ErrorRate:-0.81	P:33.61	I:1.15	D:0.00	PID:34	velL:34	velR:0
122	Angle:-23.52	AngleRate:0.85	Error:23.52	ErrorRate:-0.85	P:32.92	I:1.16	D:0.00	PID:34	velL:34	velR:0
123	Angle:-23.31	AngleRate:0.82	Error:23.31	ErrorRate:-0.82	P:32.64	I:1.17	D:0.00	PID:33	velL:33	velR:0
124	Angle:-23.39	AngleRate:0.90	Error:23.39	ErrorRate:-0.90	P:32.74	I:1.18	D:0.00	PID:33	velL:33	velR:0
125	Angle:-23.52	AngleRate:0.89	Error:23.52	ErrorRate:-0.89	P:32.93	I:1.19	D:0.00	PID:34	velL:34	velR:0
126	Angle:-23.80	AngleRate:0.87	Error:23.80	ErrorRate:-0.87	P:33.33	I:1.20	D:0.00	PID:34	velL:34	velR:0
127	Angle:-23.42	AngleRate:0.85	Error:23.42	ErrorRate:-0.85	P:32.78	I:1.21	D:0.00	PID:33	velL:33	velR:0
128	Angle:-23.50	AngleRate:0.84	Error:23.50	ErrorRate:-0.84	P:32.90	I:1.22	D:0.00	PID:34	velL:34	velR:0
129	Angle:-23.62	AngleRate:0.87	Error:23.62	ErrorRate:-0.87	P:33.07	I:1.23	D:0.00	PID:34	velL:34	velR:0
130	Angle:-23.78	AngleRate:0.81	Error:23.78	ErrorRate:-0.81	P:33.29	I:1.23	D:0.00	PID:34	velL:34	velR:0
131	Angle:-23.54	AngleRate:0.85	Error:23.54	ErrorRate:-0.85	P:32.96	I:1.24	D:0.00	PID:34	velL:34	velR:0
132	Angle:-23.23	AngleRate:0.84	Error:23.23	ErrorRate:-0.84	P:32.52	I:1.25	D:0.00	PID:33	velL:33	velR:0
133	Angle:-23.48	AngleRate:0.87	Error:23.48	ErrorRate:-0.87	P:32.87	I:1.26	D:0.00	PID:34	velL:34	velR:0
134	Angle:-23.38	AngleRate:0.90	Error:23.38	ErrorRate:-0.90	P:32.73	I:1.27	D:0.00	PID:34	velL:34	velR:0
135	Angle:-23.90	AngleRate:0.85	Error:23.90	ErrorRate:-0.85	P:33.46	I:1.28	D:0.00	PID:34	velL:34	velR:0
136	Angle:-23.24	AngleRate:0.87	Error:23.24	ErrorRate:-0.87	P:32.53	I:1.29	D:0.00	PID:33	velL:33	velR:0
137	Angle:-23.48	AngleRate:0.84	Error:23.48	ErrorRate:-0.84	P:32.87	I:1.30	D:0.00	PID:34	velL:34	velR:0
138	Angle:-23.50	AngleRate:0.92	Error:23.50	ErrorRate:-0.92	P:32.89	I:1.31	D:0.00	PID:34	velL:34	velR:0
139	Angle:-23.76	AngleRate:0.87	Error:23.76	ErrorRate:-0.87	P:33.26	I:1.32	D:0.00	PID:34	velL:34	velR:0
